x,y,yerr
0.4,3.23E-04,1.27E-05
0.8,4.89E-04,3.41E-05
1.2,8.01E-04,5.63E-05
1.6,0.00122,7.82E-05
2,0.00159,9.97E-05
2.4,0.00202,1.15E-04
2.8,0.0025,1.32E-04
3.2,0.0031,1.46E-04
3.6,0.00354,1.57E-04
4,0.00378,1.69E-04
4.4,0.00408,1.80E-04
4.8,0.00442,1.94E-04
5.2,0.00501,2.03E-04
5.6,0.00556,2.12E-04
6,0.00606,2.25E-04
6.4,0.00627,2.35E-04
6.8,0.00636,2.40E-04
7.2,0.0064,2.46E-04
7.6,0.00644,2.57E-04
8,0.00646,2.62E-04
8.4,0.00649,2.71E-04
8.8,0.00647,2.84E-04
9.2,0.00635,2.87E-04
9.6,0.00647,2.96E-04
10,0.00651,3.11E-04
10.4,0.00654,3.04E-04
10.8,0.00633,3.14E-04
11.2,0.00622,3.21E-04
11.6,0.00609,3.53E-04
12,0.00599,3.45E-04
12.4,0.00575,3.61E-04
12.8,0.00542,3.71E-04
13.2,0.00536,3.71E-04
13.6,0.00532,3.82E-04
14,0.00548,3.99E-04
14.4,0.00542,4.29E-04
14.8,0.00529,4.61E-04
15.2,0.00533,4.49E-04
15.6,0.00537,4.75E-04
16,0.00592,5.13E-04
16.4,0.00592,5.59E-04
16.8,0.00534,5.95E-04
17.2,0.00423,5.86E-04
17.6,0.00351,6.64E-04
18,0.00338,7.06E-04
18.4,0.003,6.99E-04
18.8,0.00256,6.93E-04
19.2,0.00175,7.13E-04
19.6,0.00175,7.39E-04
20,0.00166,7.68E-04
20.4,0.00113,8.19E-04
20.8,8.83E-04,8.30E-04
21.2,7.07E-04,7.75E-04
21.6,6.18E-04,7.85E-04
22,1.67E-04,8.50E-04
22.4,-1.25E-04,8.76E-04
22.8,6.71E-04,8.29E-04
23.2,0.00113,8.45E-04
23.6,0.0015,8.39E-04
24,0.00171,8.39E-04
24.4,0.0021,8.65E-04
24.8,0.00256,8.73E-04
25.2,0.00237,9.24E-04
25.6,0.00251,8.86E-04
26,0.0024,9.19E-04
26.4,0.00243,9.52E-04
26.8,0.00256,9.07E-04
27.2,0.0029,9.13E-04
27.6,0.0037,0.00106
28,0.00423,0.00107
28.4,0.00465,9.80E-04
28.8,0.00441,9.76E-04
29.2,0.00405,0.00108
29.6,0.00398,0.00124
30,0.0036,0.00133
30.4,0.00344,0.00122
30.8,0.00318,0.0012
31.2,0.00362,0.00117
31.6,0.00309,0.00119
32,0.00276,0.00113
32.5165,0.00211,0.00123
33.033,0.00243,0.00149
33.4425,0.00168,0.00176
33.8589,0.00119,0.00179
34.2823,9.20E-05,0.00181
34.7129,-5.49E-05,0.0018
35.1509,8.86E-04,0.00187
35.5964,0.00252,0.00194
36.0496,0.00469,0.00198
36.5107,0.00567,0.00208
36.9799,0.00577,0.00212
37.4573,0.00631,0.00215
37.9432,0.00497,0.0022
38.4377,0.00725,0.00218
38.9411,0.00783,0.00231
39.4535,0.00945,0.00227
39.9752,0.00815,0.00231
40.5065,0.00816,0.00241
41.0474,0.01057,0.00254
41.5984,0.01122,0.00261
42.1596,0.01136,0.00268
42.7313,0.01064,0.00275
43.3138,0.01191,0.00297
43.9073,0.01492,0.00318
44.512,0.01683,0.00328
45.1284,0.01587,0.00332
45.7567,0.01621,0.00351
46.3971,0.01604,0.00375
47.0501,0.01856,0.00384
47.716,0.01729,0.00413
48.3949,0.01894,0.00422
49.0875,0.0204,0.00448
49.7939,0.02242,0.00488
50.5146,0.0246,0.00501
51.25,0.0235,0.00527
52.0004,0.02368,0.00539
52.7663,0.02225,0.00561
53.5481,0.02576,0.00615
54.3462,0.02843,0.00678
55.1611,0.03675,0.00683
55.9934,0.0409,0.00775
56.8433,0.0456,0.00835
57.7116,0.04384,0.00902
58.5986,0.03891,0.00909
59.5051,0.02725,0.00987
