x,y
0,6.98E-04
0.0517,7.05E-04
0.10339,7.26E-04
0.15509,7.61E-04
0.20679,8.10E-04
0.25848,8.72E-04
0.31018,9.49E-04
0.36188,1.04E-03
0.41357,1.14E-03
0.46527,1.26E-03
0.51697,0.0014
0.56866,0.00154
0.62036,0.0017
0.67206,0.00188
0.72375,0.00207
0.77545,0.00228
0.82715,0.0025
0.87884,0.00273
0.93054,0.00298
0.98224,0.00325
1.03393,0.00354
1.08563,0.00384
1.13733,0.00416
1.18902,0.0045
1.24072,0.00485
1.29242,0.00523
1.34411,0.00562
1.39581,0.00603
1.44751,0.00646
1.4992,0.00691
1.5509,0.00739
1.6026,0.00788
1.65429,0.00841
1.70599,0.00895
1.75769,0.00953
1.80938,0.01014
1.86108,0.01079
1.91278,0.01149
1.96447,0.01224
2.01617,0.01306
2.06787,0.01397
2.11956,0.01498
2.17126,0.01611
2.22296,0.0174
2.27465,0.01887
2.32635,0.02056
2.37805,0.02251
2.42974,0.02477
2.48144,0.02738
2.53314,0.03039
2.58483,0.03385
2.63653,0.03781
2.68823,0.04231
2.73992,0.04738
2.79162,0.05305
2.84332,0.05933
2.89501,0.06623
2.94671,0.07373
2.99841,0.08181
3.0501,0.09045
3.1018,0.09962
3.1535,0.10929
3.20519,0.11947
3.25689,0.13018
3.30859,0.14146
3.36028,0.15341
3.41198,0.16617
3.46368,0.17992
3.51537,0.19488
3.56707,0.21131
3.61877,0.22948
3.67046,0.24964
3.72216,0.27205
3.77386,0.29688
3.82555,0.32425
3.87725,0.35416
3.92895,0.3865
3.98064,0.42102
4.03234,0.45735
4.08404,0.49498
4.13573,0.53331
4.18743,0.57166
4.23913,0.60928
4.29082,0.64545
4.34252,0.67949
4.39422,0.71077
4.44591,0.73882
4.49761,0.76329
4.5493,0.784
4.601,0.80094
4.6527,0.81428
4.70439,0.82433
4.75609,0.83154
4.80779,0.83643
4.85948,0.83961
4.91118,0.84172
4.96288,0.8434
5.01457,0.84528
5.06627,0.84793
5.11797,0.85188
5.16966,0.8576
5.22136,0.86549
5.27306,0.87587
5.32475,0.88901
5.37645,0.9051
5.42815,0.92424
5.47984,0.94648
5.53154,0.97177
5.58324,0.99998
5.63493,1.03087
5.68663,1.06415
5.73833,1.0994
5.79002,1.13617
5.84172,1.17394
5.89342,1.21214
5.94511,1.2502
5.99681,1.28758
6.04851,1.32377
6.1002,1.35833
6.1519,1.39092
6.2036,1.42131
6.25529,1.44935
6.30699,1.47505
6.35869,1.49848
6.41038,1.51982
6.46208,1.5393
6.51378,1.55721
6.56547,1.57382
6.61717,1.58939
6.66887,1.60414
6.72056,1.61821
6.77226,1.63165
6.82396,1.64441
6.87565,1.65638
6.92735,1.66732
6.97905,1.67694
7.03074,1.68489
7.08244,1.69082
7.13414,1.69435
7.18583,1.69516
7.23753,1.69297
7.28923,1.68756
7.34092,1.67883
7.39262,1.66672
7.44432,1.6513
7.49601,1.63268
7.54771,1.61106
7.59941,1.5867
7.6511,1.55991
7.7028,1.53103
7.7545,1.50043
7.80619,1.46853
7.85789,1.43577
7.90959,1.40263
7.96128,1.3696
8.01298,1.33719
8.06468,1.30593
8.11637,1.27634
8.16807,1.2489
8.21977,1.22404
8.27146,1.20211
8.32316,1.18337
8.37486,1.16796
8.42655,1.15587
8.47825,1.147
8.52995,1.14108
8.58164,1.13779
8.63334,1.13668
8.68504,1.13729
8.73673,1.1391
8.78843,1.14165
8.84013,1.1445
8.89182,1.14726
8.94352,1.14964
8.99522,1.15143
9.04691,1.15252
9.09861,1.15286
9.15031,1.1525
9.202,1.15154
9.2537,1.15012
9.3054,1.14844
9.35709,1.1467
9.40879,1.14513
9.46049,1.14397
9.51218,1.14344
9.56388,1.14376
9.61558,1.14513
9.66727,1.14772
9.71897,1.15165
9.77067,1.157
9.82236,1.16376
9.87406,1.17187
9.92576,1.18117
9.97745,1.19141
10.02915,1.20226
10.08085,1.2133
10.13254,1.22405
10.18424,1.23396
10.23594,1.24246
10.28763,1.24897
10.33933,1.25293
10.39103,1.25384
10.44272,1.25128
10.49442,1.2449
10.54612,1.23452
10.59781,1.22007
10.64951,1.20161
10.70121,1.17937
10.7529,1.15371
10.8046,1.1251
10.8563,1.09411
10.90799,1.06141
10.95969,1.02769
11.01139,0.99365
11.06308,0.95998
11.11478,0.92734
11.16648,0.89629
11.21817,0.86733
11.26987,0.84082
11.32157,0.81703
11.37326,0.7961
11.42496,0.77808
11.47666,0.7629
11.52835,0.7504
11.58005,0.74036
11.63175,0.73249
11.68344,0.72647
11.73514,0.72194
11.78684,0.71856
11.83853,0.71597
11.89023,0.71384
11.94193,0.71185
11.99362,0.70975
12.04532,0.70729
12.09702,0.70429
12.14871,0.70063
12.20041,0.69622
12.25211,0.69105
12.3038,0.68516
12.3555,0.67865
12.4072,0.67164
12.45889,0.66433
12.51059,0.65694
12.56229,0.64972
12.61398,0.64291
12.66568,0.63678
12.71738,0.63158
12.76907,0.62751
12.82077,0.62477
12.87247,0.6235
12.92416,0.62381
12.97586,0.62576
13.02756,0.62937
13.07925,0.6346
13.13095,0.6414
13.18264,0.64969
13.23434,0.65934
13.28604,0.67025
13.33773,0.68228
13.38943,0.6953
13.44113,0.70918
13.49282,0.72381
13.54452,0.73908
13.59622,0.75492
13.64791,0.77126
13.69961,0.78806
13.75131,0.80531
13.803,0.82303
13.8547,0.84124
13.9064,0.86002
13.95809,0.87945
14.00979,0.89962
14.06149,0.92065
14.11318,0.94265
14.16488,0.96572
14.21658,0.98997
14.26827,1.01547
14.31997,1.04226
14.37167,1.07038
14.42336,1.09981
14.47506,1.13049
14.52676,1.16234
14.57845,1.19525
14.63015,1.22907
