x,y
16.43953,1.93314
16.49123,1.92576
16.54293,1.91398
16.59462,1.89779
16.64632,1.87722
16.69802,1.85232
16.74971,1.82324
16.80141,1.79013
16.85311,1.75323
16.9048,1.71284
16.9565,1.66928
17.0082,1.62295
17.05989,1.57427
17.11159,1.52369
17.16329,1.47168
17.21498,1.41871
17.26668,1.36527
17.31838,1.31181
17.37007,1.25875
17.42177,1.2065
17.47347,1.15543
17.52516,1.10585
17.57686,1.05807
17.62856,1.01232
17.68025,0.96884
17.73195,0.92782
17.78365,0.88945
17.83534,0.85387
17.88704,0.82126
17.93874,0.79176
17.99043,0.76551
18.04213,0.74267
18.09383,0.72338
18.14552,0.70777
18.19722,0.69598
18.24892,0.6881
18.30061,0.68423
18.35231,0.68442
18.40401,0.6887
18.4557,0.69702
18.5074,0.70932
18.5591,0.72546
18.61079,0.74525
18.66249,0.76843
18.71419,0.79467
18.76588,0.82362
18.81758,0.85483
18.86928,0.88783
18.92097,0.9221
18.97267,0.95709
19.02437,0.99225
19.07606,1.02701
19.12776,1.0608
19.17946,1.09308
19.23115,1.12335
19.28285,1.15113
19.33455,1.17601
19.38624,1.19762
19.43794,1.21567
19.48964,1.22994
19.54133,1.24029
19.59303,1.24667
19.64473,1.24911
19.69642,1.24772
19.74812,1.24273
19.79982,1.23443
19.85151,1.22322
19.90321,1.20957
19.95491,1.19403
20.0066,1.1772
20.0583,1.15969
20.11,1.14217
20.16169,1.12525
20.21339,1.10955
20.26509,1.0956
20.31678,1.08384
20.36848,1.07461
20.42018,1.06812
20.47187,1.06447
20.52357,1.06359
20.57527,1.06528
20.62696,1.06921
20.67866,1.07492
20.73036,1.08187
20.78205,1.08942
20.83375,1.09687
20.88545,1.10352
20.93714,1.10866
20.98884,1.1116
21.04054,1.11173
21.09223,1.10855
21.14393,1.10164
21.19563,1.09073
21.24732,1.07572
21.29902,1.05661
21.35072,1.0336
21.40241,1.007
21.45411,0.97724
21.50581,0.94485
21.5575,0.91044
21.6092,0.87466
21.6609,0.83815
21.71259,0.80155
21.76429,0.76545
21.81599,0.73037
21.86768,0.69677
21.91938,0.66499
21.97107,0.63531
22.02277,0.60788
22.07447,0.5828
22.12617,0.56007
22.17786,0.53964
22.22956,0.5214
22.28125,0.50521
22.33295,0.49087
22.38465,0.47821
22.43634,0.467
22.48804,0.45703
22.53974,0.44808
22.59143,0.43993
22.64313,0.43234
22.69483,0.4251
22.74652,0.418
22.79822,0.41082
22.84992,0.40338
