x,y
16.38784,1.65186
16.43953,1.63301
16.49123,1.61153
16.54293,1.58793
16.59462,1.5627
16.64632,1.5363
16.69802,1.50916
16.74971,1.48162
16.80141,1.454
16.85311,1.42655
16.9048,1.39948
16.9565,1.37295
17.0082,1.3471
17.05989,1.32202
17.11159,1.29779
17.16329,1.27448
17.21498,1.25214
17.26668,1.23082
17.31838,1.21056
17.37007,1.19141
17.42177,1.17337
17.47347,1.15647
17.52516,1.14071
17.57686,1.12604
17.62856,1.11242
17.68025,1.09974
17.73195,1.08789
17.78365,1.07669
17.83534,1.06595
17.88704,1.05546
17.93874,1.04497
17.99043,1.03424
18.04213,1.02304
18.09383,1.01116
18.14552,0.99844
18.19722,0.98476
18.24892,0.97006
18.30061,0.95436
18.35231,0.93774
18.40401,0.92034
18.4557,0.90236
18.5074,0.88405
18.5591,0.86567
18.61079,0.84748
18.66249,0.82975
18.71419,0.81269
18.76588,0.79647
18.81758,0.78122
18.86928,0.76698
18.92097,0.75375
18.97267,0.74145
19.02437,0.72998
19.07606,0.71918
19.12776,0.70888
19.17946,0.6989
19.23115,0.68907
19.28285,0.67922
19.33455,0.66924
19.38624,0.65902
19.43794,0.6485
19.48964,0.63764
19.54133,0.62646
19.59303,0.61496
19.64473,0.6032
19.69642,0.59125
19.74812,0.57915
19.79982,0.56698
19.85151,0.5548
19.90321,0.54267
19.95491,0.53064
20.0066,0.51874
20.0583,0.507
20.11,0.49544
20.16169,0.48407
20.21339,0.47291
20.26509,0.46196
20.31678,0.45123
20.36848,0.44073
20.42018,0.43046
20.47187,0.42045
20.52357,0.41071
20.57527,0.40126
20.62696,0.39212
20.67866,0.38332
20.73036,0.37488
20.78205,0.3668
20.83375,0.35909
20.88545,0.35175
20.93714,0.34477
20.98884,0.33811
21.04054,0.33175
21.09223,0.32564
21.14393,0.31972
21.19563,0.31393
21.24732,0.30821
21.29902,0.3025
21.35072,0.29672
21.40241,0.29082
21.45411,0.28476
21.50581,0.27849
21.5575,0.27198
21.6092,0.26522
21.6609,0.25821
21.71259,0.25095
21.76429,0.24347
21.81599,0.2358
21.86768,0.22798
21.91938,0.22007
21.97107,0.21211
22.02277,0.20416
22.07447,0.19628
22.12617,0.18852
22.17786,0.18093
22.22956,0.17355
22.28125,0.16641
22.33295,0.15956
22.38465,0.15301
22.43634,0.14678
22.48804,0.14088
22.53974,0.1353
22.59143,0.13005
22.64313,0.12512
22.69483,0.12049
22.74652,0.11615
22.79822,0.11208
22.84992,0.10826
22.90161,0.10467
22.95331,0.10128
23.00501,0.09808
23.0567,0.09506
23.1084,0.09219
23.1601,0.08945
23.21179,0.08684
23.26349,0.08434
23.31519,0.08194
23.36688,0.07964
23.41858,0.07741
23.47028,0.07527
23.52197,0.07321
23.57367,0.07121
23.62537,0.06929
23.67706,0.06743
23.72876,0.06563
23.78046,0.0639
23.83215,0.06223
23.88385,0.06061
23.93555,0.05905
23.98724,0.05753
24.03894,0.05606
24.09064,0.05464
24.14233,0.05326
24.19403,0.05191
24.24573,0.05059
24.29742,0.04931
24.34912,0.04805
24.40082,0.04683
24.45251,0.04563
24.50421,0.04446
24.55591,0.04332
24.6076,0.04222
24.6593,0.04115
24.711,0.04012
24.76269,0.03913
24.81439,0.03819
24.86609,0.03729
24.91778,0.03644
24.96948,0.03563
25.02118,0.03488
25.07287,0.03417
25.12457,0.0335
25.17627,0.03288
25.22796,0.0323
25.27966,0.03176
25.33136,0.03124
25.38305,0.03075
25.43475,0.03029
25.48645,0.02984
25.53814,0.0294
25.58984,0.02897
25.64154,0.02854
25.69323,0.02812
25.74493,0.0277
25.79663,0.02728
25.84832,0.02686
25.90002,0.02643
25.95172,0.02601
26.00341,0.02558
26.05511,0.02516
26.10681,0.02473
26.1585,0.02431
26.2102,0.0239
26.2619,0.02349
26.31359,0.02308
26.36529,0.02269
26.41699,0.0223
26.46868,0.02193
26.52038,0.02156
26.57208,0.0212
26.62377,0.02086
26.67547,0.02052
26.72717,0.0202
26.77886,0.01989
26.83056,0.01959
26.88226,0.0193
26.93395,0.01903
26.98565,0.01876
27.03735,0.0185
27.08904,0.01825
27.14074,0.01801
27.19244,0.01778
27.24413,0.01756
27.29583,0.01734
27.34753,0.01713
27.39922,0.01693
27.45092,0.01673
27.50262,0.01653
27.55431,0.01634
27.60601,0.01616
27.65771,0.01598
27.7094,0.0158
27.7611,0.01562
27.8128,0.01545
27.86449,0.01528
27.91619,0.01511
27.96789,0.01494
28.01958,0.01478
28.07128,0.01462
28.12298,0.01446
28.17467,0.01431
28.22637,0.01416
28.27807,0.01402
28.32976,0.01388
28.38146,0.01376
28.43316,0.01364
28.48485,0.01353
28.53655,0.01342
