x,y
0,7.77E-04
0.0517,7.83E-04
0.10339,8.01E-04
0.15509,8.32E-04
0.20679,8.74E-04
0.25848,9.29E-04
0.31018,9.95E-04
0.36188,1.07E-03
0.41357,1.16E-03
0.46527,1.26E-03
0.51697,1.38E-03
0.56866,1.50E-03
0.62036,1.63E-03
0.67206,1.78E-03
0.72375,1.94E-03
0.77545,0.00211
0.82715,0.0023
0.87884,0.00249
0.93054,0.00271
0.98224,0.00294
1.03393,0.00318
1.08563,0.00345
1.13733,0.00373
1.18902,0.00403
1.24072,0.00436
1.29242,0.00471
1.34411,0.00509
1.39581,0.0055
1.44751,0.00594
1.4992,0.00643
1.5509,0.00695
1.6026,0.00753
1.65429,0.00815
1.70599,0.00884
1.75769,0.00959
1.80938,0.0104
1.86108,0.01129
1.91278,0.01225
1.96447,0.01329
2.01617,0.01441
2.06787,0.01561
2.11956,0.01688
2.17126,0.01823
2.22296,0.01964
2.27465,0.02112
2.32635,0.02265
2.37805,0.02424
2.42974,0.02588
2.48144,0.02756
2.53314,0.02928
2.58483,0.03104
2.63653,0.03284
2.68823,0.03469
2.73992,0.03658
2.79162,0.03853
2.84332,0.04055
2.89501,0.04266
2.94671,0.04487
2.99841,0.0472
3.0501,0.04968
3.1018,0.05236
3.1535,0.05526
3.20519,0.05844
3.25689,0.06197
3.30859,0.0659
3.36028,0.07033
3.41198,0.07534
3.46368,0.08104
3.51537,0.08754
3.56707,0.09495
3.61877,0.1034
3.67046,0.11301
3.72216,0.12389
3.77386,0.13613
3.82555,0.14983
3.87725,0.16504
3.92895,0.18181
3.98064,0.20015
4.03234,0.22003
4.08404,0.2414
4.13573,0.26419
4.18743,0.28829
4.23913,0.31358
4.29082,0.33994
4.34252,0.36723
4.39422,0.39531
4.44591,0.42407
4.49761,0.4534
4.5493,0.48322
4.601,0.51345
4.6527,0.54405
4.70439,0.57499
4.75609,0.60624
4.80779,0.63775
4.85948,0.66949
4.91118,0.70137
4.96288,0.73328
5.01457,0.76507
5.06627,0.79652
5.11797,0.82739
5.16966,0.85738
5.22136,0.88616
5.27306,0.91338
5.32475,0.93868
5.37645,0.96173
5.42815,0.98224
5.47984,0.99996
5.53154,1.0147
5.58324,1.02636
5.63493,1.03491
5.68663,1.04039
5.73833,1.0429
5.79002,1.04263
5.84172,1.03979
5.89342,1.03464
5.94511,1.02746
5.99681,1.01856
6.04851,1.00826
6.1002,0.99689
6.1519,0.9848
6.2036,0.97236
6.25529,0.95996
6.30699,0.94798
6.35869,0.93684
6.41038,0.92693
6.46208,0.91866
6.51378,0.91238
6.56547,0.90841
6.61717,0.90699
6.66887,0.90824
6.72056,0.91222
6.77226,0.9188
6.82396,0.92774
6.87565,0.93866
6.92735,0.95104
6.97905,0.96424
7.03074,0.97752
7.08244,0.99011
7.13414,1.00121
7.18583,1.01005
7.23753,1.01592
7.28923,1.01825
7.34092,1.01658
7.39262,1.01065
7.44432,1.00038
7.49601,0.98588
7.54771,0.96742
7.59941,0.94546
7.6511,0.92058
7.7028,0.89345
7.7545,0.86481
7.80619,0.8354
7.85789,0.80596
7.90959,0.77715
7.96128,0.74957
8.01298,0.7237
8.06468,0.6999
8.11637,0.67844
8.16807,0.65944
8.21977,0.64295
8.27146,0.62891
8.32316,0.61718
8.37486,0.6076
8.42655,0.59995
8.47825,0.59401
8.52995,0.58957
8.58164,0.58644
8.63334,0.58446
8.68504,0.58353
8.73673,0.58355
8.78843,0.58451
8.84013,0.5864
8.89182,0.58925
8.94352,0.5931
8.99522,0.59801
9.04691,0.60401
9.09861,0.61111
9.15031,0.61931
9.202,0.62855
9.2537,0.63873
9.3054,0.64972
9.35709,0.66132
9.40879,0.67333
9.46049,0.6855
