x,y,yerr
0.4,3.42E-04,5.10E-06
0.8,6.39E-04,1.36E-05
1.2,0.00111,2.36E-05
1.6,0.00177,3.23E-05
2,0.00248,4.04E-05
2.4,0.00315,4.73E-05
2.8,0.00376,5.44E-05
3.2,0.00435,5.88E-05
3.6,0.00493,6.37E-05
4,0.00549,6.87E-05
4.4,0.00602,7.27E-05
4.8,0.00659,7.64E-05
5.2,0.00737,7.97E-05
5.6,0.00822,8.67E-05
6,0.00893,8.91E-05
6.4,0.00913,9.22E-05
6.8,0.0092,9.41E-05
7.2,0.00923,9.55E-05
7.6,0.00937,9.80E-05
8,0.00949,1.02E-04
8.4,0.0096,1.07E-04
8.8,0.00963,1.09E-04
9.2,0.00971,1.10E-04
9.6,0.00983,1.11E-04
10,0.00992,1.13E-04
10.4,0.00976,1.14E-04
10.8,0.00959,1.14E-04
11.2,0.00941,1.17E-04
11.6,0.00922,1.19E-04
12,0.00894,1.23E-04
12.4,0.00876,1.26E-04
12.8,0.00876,1.28E-04
13.2,0.00888,1.26E-04
13.6,0.0092,1.29E-04
14,0.0095,1.33E-04
14.4,0.00984,1.40E-04
14.8,0.01014,1.54E-04
15.2,0.01053,1.59E-04
15.6,0.01119,1.62E-04
16,0.0119,1.73E-04
16.4,0.01249,1.84E-04
16.8,0.01277,1.92E-04
17.2,0.01296,2.03E-04
17.6,0.01297,2.18E-04
18,0.01298,2.23E-04
18.4,0.01269,2.21E-04
18.8,0.01239,2.24E-04
19.2,0.01182,2.26E-04
19.6,0.01138,2.29E-04
20,0.01091,2.34E-04
20.4,0.01068,2.44E-04
20.8,0.01046,2.57E-04
21.2,0.01035,2.45E-04
21.6,0.01023,2.30E-04
22,0.0101,2.39E-04
22.4,0.00993,2.42E-04
22.8,0.00979,2.24E-04
23.2,0.00972,2.33E-04
23.6,0.00969,2.25E-04
24,0.00951,2.25E-04
24.4,0.00939,2.27E-04
24.8,0.00929,2.14E-04
25.2,0.00922,2.19E-04
25.6,0.00909,2.07E-04
26,0.00897,2.28E-04
26.4,0.00896,2.23E-04
26.8,0.00894,2.04E-04
27.2,0.00897,2.17E-04
27.6,0.0088,2.29E-04
28,0.00879,2.11E-04
28.4,0.00875,1.98E-04
28.8,0.00886,2.07E-04
29.2,0.00866,2.31E-04
29.6,0.00845,2.48E-04
30,0.00839,2.38E-04
30.4,0.00843,2.15E-04
30.8,0.00855,2.10E-04
31.2,0.00851,2.07E-04
31.6,0.0084,2.04E-04
32,0.00828,2.06E-04
