x,y,yerr
0.4,2.95E-04,2.48E-05
0.8,3.55E-04,6.95E-05
1.2,5.71E-04,1.17E-04
1.6,0.00118,1.56E-04
2,0.002,1.90E-04
2.4,0.00278,2.10E-04
2.8,0.00351,2.44E-04
3.2,0.00426,2.69E-04
3.6,0.00518,2.81E-04
4,0.00608,3.03E-04
4.4,0.0071,3.15E-04
4.8,0.00821,3.30E-04
5.2,0.00962,3.46E-04
5.6,0.01106,3.55E-04
6,0.01203,3.68E-04
6.4,0.01238,3.92E-04
6.8,0.01239,3.86E-04
7.2,0.01257,3.93E-04
7.6,0.01291,4.09E-04
8,0.01288,4.16E-04
8.4,0.01279,4.24E-04
8.8,0.01279,4.27E-04
9.2,0.01333,4.35E-04
9.6,0.01373,4.49E-04
10,0.01376,4.67E-04
10.4,0.01324,4.62E-04
10.8,0.01266,4.58E-04
11.2,0.01201,4.79E-04
11.6,0.01123,4.91E-04
12,0.01079,5.15E-04
12.4,0.01015,5.14E-04
12.8,0.00995,5.42E-04
13.2,0.00949,5.47E-04
13.6,0.00949,5.40E-04
14,0.01003,5.73E-04
14.4,0.01013,6.01E-04
14.8,0.01038,6.64E-04
15.2,0.01047,6.63E-04
15.6,0.01103,6.97E-04
16,0.01121,7.57E-04
16.4,0.01039,8.20E-04
16.8,0.01005,8.56E-04
17.2,0.00975,8.75E-04
17.6,0.01002,9.69E-04
18,0.00927,0.001
18.4,0.00858,0.00101
18.8,0.00793,0.001
19.2,0.00769,0.00101
19.6,0.00696,0.00103
20,0.00673,0.00107
20.4,0.00648,0.00112
20.8,0.00678,0.00111
21.2,0.00696,9.97E-04
21.6,0.00724,9.84E-04
22,0.00752,0.00105
22.4,0.00762,0.00102
22.8,0.00776,9.20E-04
23.2,0.00771,9.45E-04
23.6,0.0074,9.33E-04
24,0.00678,9.20E-04
24.4,0.00667,9.21E-04
24.8,0.00647,8.78E-04
25.2,0.00689,8.78E-04
25.6,0.00712,8.46E-04
26,0.00687,8.69E-04
26.4,0.00727,8.92E-04
26.8,0.00756,8.08E-04
27.2,0.00774,8.20E-04
27.6,0.0076,9.26E-04
28,0.00729,9.01E-04
28.4,0.00725,8.00E-04
28.8,0.00677,7.99E-04
29.2,0.00601,8.37E-04
29.6,0.00611,9.40E-04
30,0.00651,9.94E-04
30.4,0.0071,9.20E-04
30.8,0.00736,8.56E-04
31.2,0.00742,8.45E-04
31.6,0.00737,7.99E-04
32,0.00647,7.67E-04
32.5155,0.00545,8.22E-04
33.0311,0.00485,0.001
33.4406,0.00518,0.00113
33.8569,0.00539,0.00108
34.2803,0.00518,0.00109
34.7109,0.00541,0.00109
35.1488,0.00519,0.00103
35.5943,0.00571,0.00105
36.0475,0.00568,0.00102
36.5085,0.00588,9.99E-04
36.9777,0.00574,9.90E-04
37.4551,0.00574,9.65E-04
37.9409,0.00601,9.34E-04
38.4353,0.00658,9.05E-04
38.9387,0.00624,8.93E-04
39.4511,0.00622,9.08E-04
39.9728,0.00614,8.88E-04
40.504,0.00651,8.48E-04
41.0449,0.0071,8.51E-04
41.5958,0.00743,8.34E-04
42.157,0.00751,8.12E-04
42.7286,0.00748,7.99E-04
43.311,0.0076,7.97E-04
43.9045,0.00836,7.82E-04
44.5092,0.00855,7.73E-04
45.1255,0.0083,7.80E-04
45.7537,0.00825,7.75E-04
46.3941,0.0081,7.57E-04
47.047,0.00841,7.80E-04
47.7128,0.0088,7.47E-04
48.3917,0.00938,7.50E-04
49.0842,0.00932,7.49E-04
49.7906,0.00891,7.55E-04
50.5112,0.00877,7.58E-04
51.2465,0.00875,7.68E-04
51.9968,0.00892,7.46E-04
52.7627,0.00889,7.62E-04
53.5444,0.00908,7.66E-04
54.3424,0.00887,7.34E-04
55.1573,0.00896,7.66E-04
55.9894,0.00855,7.68E-04
56.8393,0.0087,7.21E-04
57.7075,0.00918,7.39E-04
58.5944,0.00959,7.33E-04
59.5007,0.00902,7.55E-04
